title,year,source,url
102 Dalmatians,2000,Wikipedia,https://en.wikipedia.org/wiki/102_Dalmatians
28 Days,2000,Wikipedia,https://en.wikipedia.org/wiki/28_Days_(film)
3 Strikes,2000,Wikipedia,https://en.wikipedia.org/wiki/3_Strikes_(film)
Almost Famous,2000,Wikipedia,https://en.wikipedia.org/wiki/Almost_Famous
Alvin and the Chipmunks Meet the Wolfman,2000,Wikipedia,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks_Meet_the_Wolfman
American Psycho,2000,Wikipedia,https://en.wikipedia.org/wiki/American_Psycho_(film)
An American Tail: The Mystery of the Night Monster,2000,Wikipedia,https://en.wikipedia.org/wiki/An_American_Tail:_The_Mystery_of_the_Night_Monster
An American Tail: The Treasure of Manhattan Island,2000,Wikipedia,https://en.wikipedia.org/wiki/An_American_Tail:_The_Treasure_of_Manhattan_Island
An Extremely Goofy Movie,2000,Wikipedia,https://en.wikipedia.org/wiki/An_Extremely_Goofy_Movie
Animal Factory,2000,Wikipedia,https://en.wikipedia.org/wiki/Animal_Factory
Autumn in New York,2000,Wikipedia,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film)
Backstage,2000,Wikipedia,https://en.wikipedia.org/wiki/Backstage_(2000_film)
Bait,2000,Wikipedia,https://en.wikipedia.org/wiki/Bait_(2000_film)
Bamboozled,2000,Wikipedia,https://en.wikipedia.org/wiki/Bamboozled
Batman Beyond: Return of the Joker,2000,Wikipedia,https://en.wikipedia.org/wiki/Batman_Beyond:_Return_of_the_Joker
Battlefield Earth,2000,Wikipedia,https://en.wikipedia.org/wiki/Battlefield_Earth_(film)
Beautiful,2000,Wikipedia,https://en.wikipedia.org/wiki/Beautiful_(2000_film)
Bedazzled,2000,Wikipedia,https://en.wikipedia.org/wiki/Bedazzled_(2000_film)
Beethoven's 3rd,2000,Wikipedia,https://en.wikipedia.org/wiki/Beethoven%27s_3rd_(film)
Best in Show,2000,Wikipedia,https://en.wikipedia.org/wiki/Best_in_Show_(film)
Big Momma's House,2000,Wikipedia,https://en.wikipedia.org/wiki/Big_Momma%27s_House
Black and White,2000,Wikipedia,https://en.wikipedia.org/wiki/Black_and_White_(1999_drama_film)
Bless the Child,2000,Wikipedia,https://en.wikipedia.org/wiki/Bless_the_Child
Boiler Room,2000,Wikipedia,https://en.wikipedia.org/wiki/Boiler_Room_(film)
Book of Shadows: Blair Witch 2,2000,Wikipedia,https://en.wikipedia.org/wiki/Book_of_Shadows:_Blair_Witch_2
Bootmen,2000,Wikipedia,https://en.wikipedia.org/wiki/Bootmen
Bounce,2000,Wikipedia,https://en.wikipedia.org/wiki/Bounce_(film)
Boys and Girls,2000,Wikipedia,https://en.wikipedia.org/wiki/Boys_and_Girls_(2000_film)
Bring It On,2000,Wikipedia,https://en.wikipedia.org/wiki/Bring_It_On_(film)
But I'm a Cheerleader,2000,Wikipedia,https://en.wikipedia.org/wiki/But_I%27m_a_Cheerleader
Buzz Lightyear of Star Command: The Adventure Begins,2000,Wikipedia,https://en.wikipedia.org/wiki/Buzz_Lightyear_of_Star_Command:_The_Adventure_Begins
Cast Away,2000,Wikipedia,https://en.wikipedia.org/wiki/Cast_Away
Cecil B. Demented,2000,Wikipedia,https://en.wikipedia.org/wiki/Cecil_B._Demented
Center Stage,2000,Wikipedia,https://en.wikipedia.org/wiki/Center_Stage_(2000_film)
Charlie's Angels,2000,Wikipedia,https://en.wikipedia.org/wiki/Charlie%27s_Angels_(2000_film)
Cheaters,2000,Wikipedia,https://en.wikipedia.org/wiki/Cheaters_(2000_film)
Cherry Falls,2000,Wikipedia,https://en.wikipedia.org/wiki/Cherry_Falls
Chicken Run,2000,Wikipedia,https://en.wikipedia.org/wiki/Chicken_Run
Chuck & Buck,2000,Wikipedia,https://en.wikipedia.org/wiki/Chuck_%26_Buck
Circus,2000,Wikipedia,https://en.wikipedia.org/wiki/Circus_(2000_film)
Committed,2000,Wikipedia,https://en.wikipedia.org/wiki/Committed_(2000_film)
Coyote Ugly,2000,Wikipedia,https://en.wikipedia.org/wiki/Coyote_Ugly
Crime and Punishment in Suburbia,2000,Wikipedia,https://en.wikipedia.org/wiki/Crime_and_Punishment_in_Suburbia
Dancer in the Dark,2000,Wikipedia,https://en.wikipedia.org/wiki/Dancer_in_the_Dark
Deterrence,2000,Wikipedia,https://en.wikipedia.org/wiki/Deterrence_(film)
Digimon: The Movie,2000,Wikipedia,https://en.wikipedia.org/wiki/Digimon:_The_Movie
Dinosaur,2000,Wikipedia,https://en.wikipedia.org/wiki/Dinosaur_(2000_film)
Down to You,2000,Wikipedia,https://en.wikipedia.org/wiki/Down_to_You
Dr. T & the Women,2000,Wikipedia,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women
Drowning Mona,2000,Wikipedia,https://en.wikipedia.org/wiki/Drowning_Mona
Duets,2000,Wikipedia,https://en.wikipedia.org/wiki/Duets_(film)
Erin Brockovich,2000,Wikipedia,https://en.wikipedia.org/wiki/Erin_Brockovich_(film)
Final Destination,2000,Wikipedia,https://en.wikipedia.org/wiki/Final_Destination_(film)
For Love or Country: The Arturo Sandoval Story,2000,Wikipedia,https://en.wikipedia.org/wiki/For_Love_or_Country:_The_Arturo_Sandoval_Story
Frequency,2000,Wikipedia,https://en.wikipedia.org/wiki/Frequency_(2000_film)
Get Carter,2000,Wikipedia,https://en.wikipedia.org/wiki/Get_Carter_(2000_film)
Ghost Dog: The Way of the Samurai,2000,Wikipedia,https://en.wikipedia.org/wiki/Ghost_Dog:_The_Way_of_the_Samurai
Girlfight,2000,Wikipedia,https://en.wikipedia.org/wiki/Girlfight
Gladiator,2000,Wikipedia,https://en.wikipedia.org/wiki/Gladiator_(2000_film)
Gone in 60 Seconds,2000,Wikipedia,https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(2000_film)
Gossip,2000,Wikipedia,https://en.wikipedia.org/wiki/Gossip_(2000_American_film)
Gun Shy,2000,Wikipedia,https://en.wikipedia.org/wiki/Gun_Shy_(2000_film)
Hamlet,2000,Wikipedia,https://en.wikipedia.org/wiki/Hamlet_(2000_film)
Hanging Up,2000,Wikipedia,https://en.wikipedia.org/wiki/Hanging_Up
Held Up,2000,Wikipedia,https://en.wikipedia.org/wiki/Held_Up
Here on Earth,2000,Wikipedia,https://en.wikipedia.org/wiki/Here_on_Earth_(film)
High Fidelity,2000,Wikipedia,https://en.wikipedia.org/wiki/High_Fidelity_(film)
Highlander: Endgame,2000,Wikipedia,https://en.wikipedia.org/wiki/Highlander:_Endgame
Hollow Man,2000,Wikipedia,https://en.wikipedia.org/wiki/Hollow_Man
How the Grinch Stole Christmas,2000,Wikipedia,https://en.wikipedia.org/wiki/How_the_Grinch_Stole_Christmas_(2000_film)
I Dreamed of Africa,2000,Wikipedia,https://en.wikipedia.org/wiki/I_Dreamed_of_Africa
